Tylenol,0.437,31233,
Alan,0.439,1895,
Cool Lime,0.439,8057,Ice Climbers
Papa,0.44,15368,Ice Climbers
Zhu,0.44,1020,Falco
BIGKID,0.441,33915,
Zoso,0.442,1049,
Ghost,0.443,54824,
bonfire10,0.444,3738,Sheik
blargh257,0.445,11126,
Arcadia,0.446,3772,
Wavebringer,0.449,5037,Peach
Jagerbombsoldier,0.449,6653,Falco
JustJoe,0.449,221540,
KoopaTroopa895,0.449,4005,Mario
Lad,0.449,19651,
4est,0.452,397293,Marth
TheSWOOPER,0.453,50606,Samus
ChefQ,0.453,4464,
Espi,0.455,4692,
Spoon,0.455,33930,
Tempo,0.456,149012,Sheik
HiFi,0.456,172008,
Cowbell,0.456,15298,
Ralph,0.457,4505,Falco
Aura,0.457,46349,
Qerb,0.458,4461,Mr. Game & Watch
Bryan,0.458,35668,
prof,0.459,51373,Fox
Bizzarro Flame,0.46,4093,Ganondorf
Chango,0.46,34980,
MegaXmas,0.46,4224,Falco
Majersk,0.46,64862,
Younger,0.461,3665,
G$,0.461,19790,Marth
Buckee TheBortBusDriver,0.462,7962,
Rustin,0.462,7638,
Pisces,0.464,72217,Marth
Blues Clues,0.464,64692,Peach
FMB5k,0.466,18655,
Dr. Z,0.468,1447,Jigglypuff
Juicebox,0.468,6304,Sheik
Juggleguy,0.469,3382,Captain Falcon
silentspectre,0.469,4174,Captain Falcon
Reno,0.47,1076,Sheik
Goomy,0.47,22466,Samus
BlueBuddy,0.471,51035,
Hoss Delgado,0.473,69275,
Tafokints,0.473,3363,Sheik
mar,0.473,44460,
nerd,0.473,47136,
Figment,0.473,22019,
Slowking,0.474,26187,
Tiramisu,0.474,50830,
Rymo,0.474,11330,
Roboticphish,0.474,5125,
Nox,0.478,7171,
Venti,0.48,4209,
A.C.S,0.48,22479,
Enderdxg,0.482,159354,
Umarth,0.484,15504,
Skerzo,0.484,217174,
JoJo,0.484,162779,
Musgraves,0.485,20137,
Shinobi,0.487,13815,Fox
SpaceGhost,0.487,4967,
joejoe,0.488,25436,
Dirtboy,0.49,4305,
TBD,0.49,29840,
bambi,0.492,8152,
ShreksWhisper,0.492,38478,
Napkins,0.492,285266,
